2025/05/01 (05:39:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:39:33) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:39:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:39:47) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:39:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:39:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:39:47) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:40:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:40:05) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:40:05) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:40:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:40:05) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:40:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:40:13) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:40:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:40:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:40:13) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:40:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:40:21) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:40:21) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:40:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:40:21) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:40:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:40:27) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:40:27) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:40:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:40:27) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:40:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:40:35) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:40:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:40:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:40:35) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:40:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:40:51) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:40:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:40:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:40:51) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:41:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:41:05) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:41:05) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:41:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:41:05) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:41:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:41:21) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:41:21) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:41:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/05/01 (05:41:21) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/05/01 (05:41:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/05/01 (05:41:35) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/05/01 (05:41:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/05/01 (05:41:35) | WARNING: ROCm SMI: Failed to get GPU power usage
